"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
62033,"Keenesburg",2,0,0,1031767.8,1031767.8,465.2,169100,0.0131159168995944
62033,"Keenesburg",3,0,0,46939.2,46939.2,465.2,169100,0.000596694960371355
62035,"Kersey",2,0,0,22696,22696,533.4,148300,0.000286916259540383
62035,"Kersey",3,0,0,1455936.2,1455936.2,533.4,148300,0.0184055238206485
62037,"La Salle",2,0,0,91000,91000,748.4,142400,0.000853881539043593
62037,"La Salle",3,0,0,0,0,748.4,142400,0
62038,"Lochbuie",2,0,2147974.6,0,2147974.6,1870.4,152800,0.00751573213893828
62038,"Lochbuie",3,0,38800,230974.4,269774.4,1870.4,152800,0.000943936733862119
62040,"Mead",3,0,0,2426000,2426000,1295.4,300200,0.00623844306564395
62043,"Milliken",2,0,0,762632.8,762632.8,1999.2,189400,0.00201409180356409
62043,"Milliken",3,0,0,3927509.4,3927509.4,1999.2,189400,0.010372442007426
62045,"Nunn",2,0,0,421459.8,421459.8,197.8,129000,0.0165173419239542
62046,"Pierce",2,0,0,0,0,337,124000,0
62046,"Pierce",3,0,0,740939.4,740939.4,337,124000,0.0177309131808175
